430.80886552884726	596.4899636816558	living_room	155989
186.0	512.5	kitchen	21400
319.856624927486	508.4689538778918	closet	7076
522.1136556052606	424.7559066644242	bedroom	31115
714.5740324687057	424.75132011353384	office	32897
112.04043923986166	414.5217522073597	bathroom	4635
165.53879686249027	414.4793732567794	bathroom	4887
188.5373923359136	291.452299450532	bedroom	40488
514.5069938803547	260.6923941551143	bedroom	48042
315.5	209.5	bathroom	12669
410.0	209.5	closet	10578
626.9251349407662	450.3636236041864	bedroom	446
